geo_code,name,total,0-14,15-24,25-34,35-44,45-54,55-64,65+,province
FS191,Setsoto,111681,36101,21757,17182,12652,9977,7385,6627,Free State
FS196,Mantsopa,50420,16123,9795,7860,5778,4629,3430,2805,Free State
MAN,Mangaung,739678,200591,152799,127514,97458,73626,47358,40332,Free State
EKU,Ekurhuleni,3137917,767017,568058,696885,478593,313363,186875,127126,Gauteng
GT422,Midvaal,94131,21778,15880,17149,14536,10935,7704,6149,Gauteng
GT484,Merafong City,195742,47508,34032,39722,31428,25409,10888,6755,Gauteng
JHB,City of Johannesburg,4375819,1023753,792459,1027731,673430,419412,253978,185056,Gauteng
TSH,City of Tshwane,2881222,671299,550815,605462,434998,295192,179840,143616,Gauteng
ETH,eThekwini,3379275,857048,710722,652652,436660,327935,222871,171387,KwaZulu-Natal
KZN216,Hibiscus Coast,249014,69949,50427,41979,28454,22321,17018,18866,KwaZulu-Natal
KZN227,Richmond,63068,21113,12899,10053,7140,4958,3710,3195,KwaZulu-Natal
KZN241,Endumeni,63198,19942,13305,10082,7157,5706,3803,3203,KwaZulu-Natal
KZN253,Emadlangeni,32538,11554,6653,4772,3375,2527,1899,1758,KwaZulu-Natal
KZN271,Umhlabuyalingana,151930,60452,33675,18624,14236,10527,6115,8301,KwaZulu-Natal
KZN282,uMhlathuze,322838,93556,73322,63387,39587,26484,15485,11017,KwaZulu-Natal
KZN292,KwaDukuza,226234,66581,45659,43662,28941,18708,12346,10337,KwaZulu-Natal
KZN433,Greater Kokstad,64065,20227,13750,12116,8199,5342,2670,1761,KwaZulu-Natal
LIM334,Ba-Phalaborwa,147909,48558,30481,24977,18099,12184,7748,5862,KwaZulu-Natal
LIM352,Aganang,130972,48511,28099,12133,9693,9734,9068,13734,Limpopo
LIM364,Mookgopong,33533,7961,6135,6703,4757,3252,2230,2495,Limpopo
LIM367,Mogalakwena,302861,101803,64778,40541,30214,24111,17814,23600,Limpopo
LIM471,Ephraim Mogale,119837,41813,25365,16046,11571,9331,6804,8907,Limpopo
