geo_code,name,total,employed,employed-15-19,employed-15-19-Female,employed-15-19-Male,employed-20-24,employed-20-24-Female,employed-20-24-Male,unemployed,unemployed-15-19,unemployed-15-19-Female,unemployed-15-19-Male,unemployed-20-24,unemployed-20-24-Female,unemployed-20-24-Male,province
NW385,Ramotshere Moiloa,6223,2596,456,175,281,2140,645,1495,3627,1022,525,497,2605,1378,1227,North West
NW392,Naledi,4428,2339,426,127,299,1913,675,1238,2089,665,334,331,1424,779,645,North West
NW393,Mamusa,3243,1419,303,103,200,1116,366,750,1824,514,269,245,1310,719,591,North West
NW394,Greater Taung,6239,1725,415,182,233,1310,492,818,4514,1276,607,669,3238,1688,1550,North West
NW397,Kagisano/Molopo,4015,2109,487,126,361,1622,490,1132,1906,694,311,383,1212,705,507,North West
NW401,Ventersdorp,3202,1796,270,82,188,1526,430,1096,1406,366,174,192,1040,609,431,North West
NW402,Tlokwe City Council,11212,6673,1004,411,593,5669,2345,3324,4539,1300,683,617,3239,1783,1456,North West
NW403,City of Matlosana,27847,12087,1788,739,1049,10299,3810,6489,15760,4210,2052,2158,11550,6280,5270,North West
NW404,Maquassi Hills,4404,2141,380,79,301,1761,512,1249,2263,700,367,333,1563,832,731,North West
NC061,Richtersveld,907,617,131,50,81,486,224,262,290,108,45,63,182,86,96,North West
NC064,Kamiesberg,556,260,60,26,34,200,75,125,296,117,46,71,179,89,90,Northern Cape
NC065,Hantam,1178,896,190,55,135,706,268,438,282,114,62,52,168,82,86,Northern Cape
NC066,Karoo Hoogland,605,440,120,30,90,320,120,200,165,67,36,31,98,52,46,Northern Cape
NC067,Kh̢i-Ma,1383,957,190,78,112,767,320,447,426,177,90,87,249,122,127,Northern Cape
NC072,Umsobomvu,1655,780,171,53,118,609,247,362,875,282,133,149,593,334,259,Northern Cape
NC073,Emthanjeni,2590,1197,202,76,126,995,415,580,1393,551,268,283,842,458,384,Northern Cape
NC074,Kareeberg,693,389,81,36,45,308,103,205,304,131,70,61,173,97,76,Northern Cape
NC075,Renosterberg,692,426,83,28,55,343,151,192,266,97,47,50,169,80,89,Northern Cape
NC076,Thembelihle,1167,611,115,41,74,496,180,316,556,206,122,84,350,185,165,Northern Cape
NC078,Siyancuma,2074,1098,242,62,180,856,275,581,976,357,176,181,619,372,247,Northern Cape
NC081,Mier,442,245,68,22,46,177,78,99,197,84,26,58,113,63,50,Northern Cape
NC082,Kai !Garib,8761,7713,1887,823,1064,5826,2425,3401,1048,395,181,214,653,311,342,Northern Cape
NC083,//Khara Hais,5805,3342,605,225,380,2737,1152,1585,2463,867,418,449,1596,862,734,Northern Cape
NC084,!Kheis,1109,605,144,39,105,461,172,289,504,213,109,104,291,137,154,Northern Cape
NC086,Kgatelopele,1229,717,137,30,107,580,192,388,512,153,71,82,359,214,145,Northern Cape
NC091,Sol Plaatjie,16394,6844,1007,471,536,5837,2623,3214,9550,3032,1623,1409,6518,3382,3136,Northern Cape
NC092,Dikgatlong,2592,912,143,45,98,769,230,539,1680,547,301,246,1133,599,534,Northern Cape
NC093,Magareng,1263,398,51,24,27,347,122,225,865,261,139,122,604,298,306,Northern Cape
NC451,Joe Morolong,2382,960,240,82,158,720,245,475,1422,418,210,208,1004,526,478,Northern Cape
