,Unnamed: 0,mun_code,mun_name,Province,Latitude,Longitude,Wages_Salaries,emp_social_contributions,Less_Employee_Costs_Capitalised,Less_Employee_Costs_Allocated_To_Other_Operations,Councillor_Remuneration,Debt_Impairment,Collection_Costs,Dep_Impairment,IntExp_ExtBorrowing,Redemption_Payment,Bulk_Purchases,Other_Materials,Contracted_Services,Grants_Subsedies,Other_Expenditure,Loss_disposalPPE,Provision_Contribution,Total_Expenditure
114,2013,KZN213,Umzumbe,KwaZulu-Natal,30.6890055,30.6890055,22456348,0,0,0,10827765,277655,0,8441887,31000,0,0,0,0,0,32745879,265867,0,75046401
115,2013,KZN214,uMuziwabantu,KwaZulu-Natal,30.5928401,30.5928401,27782689,0,0,0,5206979,891299,0,4852231,103583,0,17329195,778488,364132,3323155,25921569,0,0,86553320
116,2013,KZN215,Ezingoleni,KwaZulu-Natal,29.9277947,29.9277947,10200792,0,0,0,2813602,0,0,11477788,14910,0,0,0,0,58240,11802975,0,0,36368307
117,2013,KZN216,Ray Nkonyeni,KwaZulu-Natal,30.182021999999996,30.182021999999996,199847611,49282389,0,0,16417122,668744,0,58908508,6517105,0,63982441,0,24982258,8528603,176964128,0,450000,606548909
118,2013,KZN221,uMshwathi,KwaZulu-Natal,30.320487300000003,30.320487300000003,29692081,0,0,0,6296071,928771,0,5371040,2181478,0,0,0,153131,0,26626877,0,0,71249449
119,2013,KZN222,uMngeni,KwaZulu-Natal,30.363931899999997,30.363931899999997,55191360,20512603,0,0,5465393,14611587,961269,57866416,4597427,0,60661783,0,1114938,0,38617412,22427,0,259622615
120,2013,KZN223,Mpofana,KwaZulu-Natal,30.5743164,30.5743164,19339086,4196982,0,0,1818371,6871000,0,5760596,1671180,0,37961514,0,6532972,0,7851000,0,0,92002701
121,2013,KZN224,Impendle,KwaZulu-Natal,30.112734999999997,30.112734999999997,12935427,0,0,0,1387022,364974,129106,6280218,0,0,0,0,421070,0,15956566,0,0,37474383
122,2013,KZN225,The Msunduzi,KwaZulu-Natal,30.112734999999997,30.112734999999997,453012531,231324037,0,0,33421534,217793936,4615652,237152632,70966061,0,1373240527,15780,17769190,4163848,632306008,3732814,0,3279514550
123,2013,KZN226,Mkhambathini,KwaZulu-Natal,29.835230300000003,29.835230300000003,17523672,0,0,0,3869385,601568,0,3546528,106983,0,0,0,286173,7196562,13080873,0,0,46211744
124,2013,KZN227,Richmond,KwaZulu-Natal,30.3824842,30.3824842,18485747,5348197,0,0,3477164,4178010,0,4306411,184456,0,0,0,2933271,0,18014975,151596,0,57079827
125,2013,KZN232,Emnambithi/Ladysmith,KwaZulu-Natal,30.573957899999996,30.573957899999996,132731363,0,0,0,13131617,10301435,555517,59154139,556000,0,154749980,0,0,43094216,135946592,1411902,0,551632761
126,2013,KZN233,Indaka,KwaZulu-Natal,30.297419899999998,30.297419899999998,9100719,0,0,0,4780264,589672,0,6091688,254850,0,0,0,4613859,2520657,8323566,79000,0,36354275
127,2013,KZN234,Umtshezi,KwaZulu-Natal,29.7807856,29.7807856,62101000,0,0,0,4601000,6460000,0,36782196,814000,0,129227000,8961000,11223000,1165000,27590000,845000,0,289769196
128,2013,KZN235,Okhahlamba,KwaZulu-Natal,30.107221999999997,30.107221999999997,27712333,0,0,0,6782971,3437307,0,5116663,416517,0,0,0,0,0,28878000,1240757,0,73584548
