,account_type,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2014,AUDA,DC9,Frances Baard,Total,6219361,Northern Cape,21.246215,21.246215
2014,AUDA,EC101,Dr Beyers Naude,Total,2551182,Northern Cape,24.3341432,24.3341432
2014,AUDA,EC102,Blue Crane Route,Total,26746826,Eastern Cape,24.371068,24.371068
2014,AUDA,EC103,Ikwezi,Total,19397932,Eastern Cape,24.3341432,24.3341432
2014,AUDA,EC104,Makana,Total,0,Eastern Cape,25.4733554,25.4733554
2014,AUDA,EC105,Ndlambe,Total,136896404,Eastern Cape,24.6192899,24.6192899
2014,AUDA,EC107,Baviaans,Total,18047758,Eastern Cape,26.3249438,26.3249438
2014,AUDA,EC108,Kouga,Total,98265412,Eastern Cape,26.749645,26.749645
2014,AUDA,EC109,Kou-Kamma,Total,9499213,Eastern Cape,24.0488007,24.0488007
2014,AUDA,EC121,Mbhashe,Total,8354963,Eastern Cape,24.8092691,24.8092691
2014,AUDA,EC122,Mnquma,Total,12253472,Eastern Cape,24.0488007,24.0488007
2014,AUDA,EC123,Great Kei,Total,7440991,Eastern Cape,28.7664408,28.7664408
2014,AUDA,EC124,Amahlathi,Total,14437538,Eastern Cape,28.0186087,28.0186087
2014,AUDA,EC126,Ngqushwa,Total,-5219746,Eastern Cape,27.9717606,27.9717606
2014,AUDA,EC127,Nkonkobe,Total,76542655,Eastern Cape,27.2676116,27.2676116
2014,AUDA,EC128,Nxuba,Total,44920650,Eastern Cape,27.2676116,27.2676116
2014,AUDA,EC131,Inxuba Yethemba,Total,66221119,Eastern Cape,26.8329144,26.8329144
2014,AUDA,EC132,Tsolwana,Total,3478714,Eastern Cape,26.3249438,26.3249438
2014,AUDA,EC133,Inkwanca,Total,17109195,Eastern Cape,25.3785719,25.3785719
2014,AUDA,EC134,Lukanji,Total,27065745,Eastern Cape,26.1359431,26.1359431
2014,AUDA,EC135,Intsika Yethu,Total,40043338,Eastern Cape,26.5137964,26.5137964
2014,AUDA,EC136,Emalahleni,Total,14893408,Eastern Cape,26.8910342,26.8910342
2014,AUDA,EC137,Engcobo,Total,16287278,Eastern Cape,27.6434844,27.6434844
2014,AUDA,EC138,Sakhisizwe,Total,6224897,Eastern Cape,29.2553229,29.2553229
2014,AUDA,EC141,Elundini,Total,24229504,Eastern Cape,27.9834738,27.9834738
2014,AUDA,EC142,Senqu,Total,779114,Eastern Cape,27.8311428,27.8311428
2014,AUDA,EC143,Maletswai,Total,58980809,Eastern Cape,28.3929417,28.3929417
