,total_amount,account_type,mun_code,mun_name,label,Province,Latitude,Longitude
2013,21595614728,AUDA,EKU,Ekurhuleni,Total Cash Receipts by Source,Eastern Cape,29.2785638,29.2785638
2013,20059661793,AUDA,EKU,Ekurhuleni,Total Cash Payments by Type,Eastern Cape,29.2785638,29.2785638
2013,24205545001,AUDA,ETH,eThekwini,Total Cash Receipts by Source,Gauteng,28.3461948,28.3461948
2013,23671319000,AUDA,ETH,eThekwini,Total Cash Payments by Type,Gauteng,28.3461948,28.3461948
2013,159117882,AUDA,FS161,Letsemeng,Total Cash Receipts by Source,KwaZulu-Natal,30.8039474,30.8039474
2013,93491000,AUDA,FS161,Letsemeng,Total Cash Payments by Type,KwaZulu-Natal,30.8039474,30.8039474
2013,182019000,AUDA,FS162,Kopanong,Total Cash Receipts by Source,Free State,25.094045,25.094045
2013,139245000,AUDA,FS162,Kopanong,Total Cash Payments by Type,Free State,25.094045,25.094045
2013,107269376,AUDA,FS163,Mohokare,Total Cash Receipts by Source,Free State,25.4733554,25.4733554
2013,104272569,AUDA,FS163,Mohokare,Total Cash Payments by Type,Free State,25.4733554,25.4733554
2013,87177650,AUDA,FS164,Naledi,Total Cash Receipts by Source,Free State,26.9852422,26.9852422
2013,92382053,AUDA,FS164,Naledi,Total Cash Payments by Type,Free State,26.9852422,26.9852422
2013,163020751,AUDA,FS181,Masilonyana,Total Cash Receipts by Source,Free State,24.7142918,24.7142918
2013,158010268,AUDA,FS181,Masilonyana,Total Cash Payments by Type,Free State,24.7142918,24.7142918
2013,144195008,AUDA,FS182,Tokologo,Total Cash Receipts by Source,Free State,26.6081653,26.6081653
2013,144342599,AUDA,FS182,Tokologo,Total Cash Payments by Type,Free State,26.6081653,26.6081653
2013,135375100,AUDA,FS183,Tswelopele,Total Cash Receipts by Source,Free State,25.4733554,25.4733554
2013,136485000,AUDA,FS183,Tswelopele,Total Cash Payments by Type,Free State,25.4733554,25.4733554
2013,1521430000,AUDA,FS184,Matjhabeng,Total Cash Receipts by Source,Free State,25.9467997,25.9467997
2013,1568106000,AUDA,FS184,Matjhabeng,Total Cash Payments by Type,Free State,25.9467997,25.9467997
2013,358453547,AUDA,FS185,Nala,Total Cash Receipts by Source,Free State,26.8910342,26.8910342
2013,362692188,AUDA,FS185,Nala,Total Cash Payments by Type,Free State,26.8910342,26.8910342
2013,376833083,AUDA,FS191,Setsoto,Total Cash Receipts by Source,Free State,26.5137964,26.5137964
2013,366736839,AUDA,FS191,Setsoto,Total Cash Payments by Type,Free State,26.5137964,26.5137964
2013,506022587,AUDA,FS192,Dihlabeng,Total Cash Receipts by Source,Free State,27.6434844,27.6434844
2013,511810943,AUDA,FS192,Dihlabeng,Total Cash Payments by Type,Free State,27.6434844,27.6434844
2013,140688520,AUDA,FS193,Nketoana,Total Cash Receipts by Source,Free State,28.2058768,28.2058768
2013,165594124,AUDA,FS193,Nketoana,Total Cash Payments by Type,Free State,28.2058768,28.2058768
2013,1142004459,AUDA,FS194,Maluti a Phofung,Total Cash Receipts by Source,Free State,28.4318311,28.4318311
2013,1188006772,AUDA,FS194,Maluti a Phofung,Total Cash Payments by Type,Free State,28.4318311,28.4318311
2013,153222895,AUDA,FS195,Phumelela,Total Cash Receipts by Source,Free State,28.9528645,28.9528645
2013,161039333,AUDA,FS195,Phumelela,Total Cash Payments by Type,Free State,28.9528645,28.9528645
2013,172328160,AUDA,FS196,Mantsopa,Total Cash Receipts by Source,Free State,29.2320784,29.2320784
2013,172172669,AUDA,FS196,Mantsopa,Total Cash Payments by Type,Free State,29.2320784,29.2320784
2013,548973061,AUDA,FS201,Moqhaka,Total Cash Receipts by Source,Free State,27.2676116,27.2676116
2013,554988887,AUDA,FS201,Moqhaka,Total Cash Payments by Type,Free State,27.2676116,27.2676116
2013,453147868,AUDA,FS203,Ngwathe,Total Cash Receipts by Source,Free State,27.2676116,27.2676116
2013,436395275,AUDA,FS203,Ngwathe,Total Cash Payments by Type,Free State,27.2676116,27.2676116
2013,520884941,AUDA,FS204,Metsimaholo,Total Cash Receipts by Source,Free State,27.7373373,27.7373373
2013,516961272,AUDA,FS204,Metsimaholo,Total Cash Payments by Type,Free State,27.7373373,27.7373373
2013,147481426,AUDA,FS205,Mafube,Total Cash Receipts by Source,Free State,27.8277881,27.8277881
2013,144688708,AUDA,FS205,Mafube,Total Cash Payments by Type,Free State,27.8277881,27.8277881
2013,3529159149,AUDA,GT421,Emfuleni,Total Cash Receipts by Source,Free State,28.5797981,28.5797981
2013,3529317586,AUDA,GT421,Emfuleni,Total Cash Payments by Type,Free State,28.5797981,28.5797981
2013,601873924,AUDA,GT422,Midvaal,Total Cash Receipts by Source,Gauteng,27.784246,27.784246
2013,566740013,AUDA,GT422,Midvaal,Total Cash Payments by Type,Gauteng,27.784246,27.784246
2013,456951279,AUDA,GT423,Lesedi,Total Cash Receipts by Source,Gauteng,28.0654445,28.0654445
2013,449110985,AUDA,GT423,Lesedi,Total Cash Payments by Type,Gauteng,28.0654445,28.0654445
2013,1876439163,AUDA,GT481,Mogale City,Total Cash Receipts by Source,Gauteng,28.4396756,28.4396756
2013,1830051178,AUDA,GT481,Mogale City,Total Cash Payments by Type,Gauteng,28.4396756,28.4396756
2013,765271394,AUDA,GT482,Randfontein,Total Cash Receipts by Source,Gauteng,27.5965403,27.5965403
2013,716076562,AUDA,GT482,Randfontein,Total Cash Payments by Type,Gauteng,27.5965403,27.5965403
