,mun_name,mun_code,label,total_amount,Province,Latitude,Longitude
2013,Masilonyana,FS181,irregular,164599000.0,Free State,24.7142918,24.7142918
2013,Masilonyana,FS181,unauthorised,591872000.0,Free State,24.7142918,24.7142918
2013,Tokologo,FS182,fruitless,268303000.0,Free State,26.6081653,26.6081653
2013,Tokologo,FS182,irregular,47582000.0,Free State,26.6081653,26.6081653
2013,Tokologo,FS182,unauthorised,38587000.0,Free State,26.6081653,26.6081653
2013,Tswelopele,FS183,fruitless,98000.0,Free State,25.4733554,25.4733554
2013,Tswelopele,FS183,irregular,1744000.0,Free State,25.4733554,25.4733554
2013,Tswelopele,FS183,unauthorised,1982000.0,Free State,25.4733554,25.4733554
2013,Matjhabeng,FS184,fruitless,181777000.0,Free State,25.9467997,25.9467997
2013,Matjhabeng,FS184,irregular,399533000.0,Free State,25.9467997,25.9467997
2013,Matjhabeng,FS184,unauthorised,3244888000.0,Free State,25.9467997,25.9467997
2013,Nala,FS185,fruitless,11296000.0,Free State,26.8910342,26.8910342
2013,Nala,FS185,irregular,38922000.0,Free State,26.8910342,26.8910342
2013,Nala,FS185,unauthorised,97795000.0,Free State,26.8910342,26.8910342
2013,Setsoto,FS191,fruitless,0.0,Free State,26.5137964,26.5137964
2013,Setsoto,FS191,irregular,131973000.0,Free State,26.5137964,26.5137964
2013,Setsoto,FS191,unauthorised,154181000.0,Free State,26.5137964,26.5137964
2013,Dihlabeng,FS192,fruitless,6388000.0,Free State,27.6434844,27.6434844
2013,Dihlabeng,FS192,irregular,0.0,Free State,27.6434844,27.6434844
2013,Dihlabeng,FS192,unauthorised,0.0,Free State,27.6434844,27.6434844
2013,Nketoana,FS193,fruitless,734343000.0,Free State,28.2058768,28.2058768
2013,Nketoana,FS193,irregular,35419000.0,Free State,28.2058768,28.2058768
2013,Nketoana,FS193,unauthorised,100436000.0,Free State,28.2058768,28.2058768
2013,Maluti a Phofung,FS194,fruitless,13099000.0,Free State,28.4318311,28.4318311
2013,Maluti a Phofung,FS194,irregular,3310000.0,Free State,28.4318311,28.4318311
2013,Maluti a Phofung,FS194,unauthorised,0.0,Free State,28.4318311,28.4318311
2013,Phumelela,FS195,fruitless,1059000.0,Free State,28.9528645,28.9528645
2013,Phumelela,FS195,irregular,123971000.0,Free State,28.9528645,28.9528645
2013,Phumelela,FS195,unauthorised,68854000.0,Free State,28.9528645,28.9528645
2013,Mantsopa,FS196,fruitless,1198000.0,Free State,29.2320784,29.2320784
2013,Mantsopa,FS196,irregular,17635000.0,Free State,29.2320784,29.2320784
2013,Mantsopa,FS196,unauthorised,151445000.0,Free State,29.2320784,29.2320784
2013,Moqhaka,FS201,fruitless,27878000.0,Free State,27.2676116,27.2676116
2013,Moqhaka,FS201,irregular,144794000.0,Free State,27.2676116,27.2676116
2013,Moqhaka,FS201,unauthorised,155977000.0,Free State,27.2676116,27.2676116
2013,Ngwathe,FS203,fruitless,0.0,Free State,27.2676116,27.2676116
2013,Ngwathe,FS203,irregular,15418000.0,Free State,27.2676116,27.2676116
2013,Ngwathe,FS203,unauthorised,187185000.0,Free State,27.2676116,27.2676116
2013,Metsimaholo,FS204,fruitless,7684000.0,Free State,27.7373373,27.7373373
2013,Metsimaholo,FS204,irregular,239611000.0,Free State,27.7373373,27.7373373
2013,Metsimaholo,FS204,unauthorised,91466000.0,Free State,27.7373373,27.7373373
2013,Mafube,FS205,fruitless,5669000.0,Free State,27.8277881,27.8277881
2013,Mafube,FS205,irregular,30002000.0,Free State,27.8277881,27.8277881
2013,Mafube,FS205,unauthorised,21774000.0,Free State,27.8277881,27.8277881
2013,Emfuleni,GT421,fruitless,176468000.0,Free State,28.5797981,28.5797981
2013,Emfuleni,GT421,irregular,0.0,Free State,28.5797981,28.5797981
2013,Emfuleni,GT421,unauthorised,0.0,Free State,28.5797981,28.5797981
2013,Midvaal,GT422,fruitless,0.0,Gauteng,27.784246,27.784246
2013,Midvaal,GT422,irregular,0.0,Gauteng,27.784246,27.784246
2013,Midvaal,GT422,unauthorised,48736000.0,Gauteng,27.784246,27.784246
