,mun_name,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,Eden,DC4,AUDA,Total Assets,632167606,Western Cape,22.047637,22.047637
2013,Dr Kenneth Kaunda,DC40,AUDA,Total Community Wealth / Equity,149792936,North West,26.5137964,26.5137964
2013,Dr Kenneth Kaunda,DC40,AUDA,Total Non-Current Liabilities,5273583,North West,26.5137964,26.5137964
2013,Dr Kenneth Kaunda,DC40,AUDA,Total Current Liabilities,43092744,North West,26.5137964,26.5137964
2013,Dr Kenneth Kaunda,DC40,AUDA,Total Net Assets and Liabilities,198159263,North West,26.5137964,26.5137964
2013,Dr Kenneth Kaunda,DC40,AUDA,Total Non-Current Assets,17648832,North West,26.5137964,26.5137964
2013,Dr Kenneth Kaunda,DC40,AUDA,Total Current Assets,180510431,North West,26.5137964,26.5137964
2013,Dr Kenneth Kaunda,DC40,AUDA,Total Assets,198159263,North West,26.5137964,26.5137964
2013,Sedibeng,DC42,AUDA,Total Community Wealth / Equity,135641416,Gauteng,28.2058768,28.2058768
2013,Sedibeng,DC42,AUDA,Total Non-Current Liabilities,0,Gauteng,28.2058768,28.2058768
2013,Sedibeng,DC42,AUDA,Total Current Liabilities,61404309,Gauteng,28.2058768,28.2058768
2013,Sedibeng,DC42,AUDA,Total Net Assets and Liabilities,197045725,Gauteng,28.2058768,28.2058768
2013,Sedibeng,DC42,AUDA,Total Non-Current Assets,178840184,Gauteng,28.2058768,28.2058768
2013,Sedibeng,DC42,AUDA,Total Current Assets,18205541,Gauteng,28.2058768,28.2058768
2013,Sedibeng,DC42,AUDA,Total Assets,197045725,Gauteng,28.2058768,28.2058768
2013,Harry Gwala,DC43,AUDA,Total Community Wealth / Equity,1071838570,KwaZulu-Natal,29.6035495,29.6035495
2013,Harry Gwala,DC43,AUDA,Total Non-Current Liabilities,37053469,KwaZulu-Natal,29.6035495,29.6035495
2013,Harry Gwala,DC43,AUDA,Total Current Liabilities,129435738,KwaZulu-Natal,29.6035495,29.6035495
2013,Harry Gwala,DC43,AUDA,Total Net Assets and Liabilities,1238327777,KwaZulu-Natal,29.6035495,29.6035495
2013,Harry Gwala,DC43,AUDA,Total Non-Current Assets,1151159083,KwaZulu-Natal,29.6035495,29.6035495
