,date,mun_code,mun_name,Province,Latitude,Longitude,Property_rates,Property_rates_PENALTIES,Service_Charges,Rent_Faciliites_Equip,Interest_Earned_Ex,Interest_Earned_De,Dividends_Rec,Fines,Licence_permits,Agency_Services,Transfers_Operating,Transfers_Capital,other_rev,PPE_disposal_gain,revenue_foregone,Total_rev
584,2015,DC38,Ngaka Modiri Molema,North West,27.3616476,27.3616476,0,0,0,0,3975361,0,0,0,0,0,447684347,211167539,1632019,0,0,664459266
585,2015,DC39,Dr Ruth Segomotsi Mompati,North West,25.8521764,25.8521764,0,0,0,665696,5024564,0,0,0,0,0,236077510,233930531,127886,0,0,475826187
586,2015,DC4,Eden,North West,24.3341432,24.3341432,0,0,0,810286,7381072,771868,0,0,166561,0,167753179,0,149317862,0,0,326200828
587,2015,DC40,Dr Kenneth Kaunda,Western Cape,22.047636999999998,22.047636999999998,0,0,0,0,8473806,0,1855,0,0,0,164538429,3375050,5707719,13349,0,182110208
588,2015,DC42,Sedibeng,North West,26.513796399999997,26.513796399999997,0,0,0,8927595,2700346,0,0,0,56875639,6613396,260478021,0,29241981,136166,0,364973144
589,2015,DC43,Harry Gwala,Gauteng,28.2058768,28.2058768,0,0,55400032,0,3669429,7446155,0,0,0,0,312656326,0,1400557,0,0,380572499
590,2015,DC44,Alfred Nzo,KwaZulu-Natal,29.6035495,29.6035495,0,0,18776544,183728,27159633,0,0,0,0,31184,374158799,445781788,3131313,0,0,869222989
591,2015,DC45,John Taolo Gaetsewe,Eastern Cape,28.859680400000002,28.859680400000002,0,0,0,71590,2718342,0,0,0,0,0,71072897,0,7124841,0,0,80987670
592,2015,DC47,Sekhukhune,Northern Cape,23.1918021,23.1918021,0,0,42716952,0,11388222,4677111,0,0,0,0,481199225,296223119,56025606,5951,0,892236186
593,2015,DC48,West Rand,Limpopo,29.9740534,29.9740534,0,0,1023527,1533096,3297067,114441,0,0,185764,37789000,189804775,0,5732447,0,0,239480117
594,2015,DC5,Central Karoo,Gauteng,27.455638800000003,27.455638800000003,0,0,0,70022,423775,0,0,0,14990,3158928,26928491,0,37713515,0,0,68309721
595,2015,DC6,Namakwa,Western Cape,22.2384017,22.2384017,0,0,0,634903,2287473,59060,0,0,0,759061,44176220,1084093,787428,0,0,49788238
596,2015,DC7,Pixley ka Seme,Northern Cape,19.949686,19.949686,0,0,0,164944,355979,0,0,0,0,0,37578894,0,3632099,0,0,41731916
597,2015,DC8,Z F Mgcawu,Northern Cape,23.3823545,23.3823545,0,0,0,44594,305804,48508,0,0,0,0,52648053,0,1399203,0,0,54446162
598,2015,DC9,Frances Baard,Northern Cape,21.246215,21.246215,0,0,0,971687,6882359,0,0,0,0,0,102394822,0,152651,0,0,110401519
599,2015,EC101,Dr Beyers Naude,Northern Cape,24.3341432,24.3341432,20074929,0,102955308,580601,2299305,4658806,0,315094,1845829,0,46007794,27392474,12442532,519175,0,219091847
600,2015,EC102,Blue Crane Route,Eastern Cape,24.3341432,24.3341432,9054976,0,90568775,45405,819974,3185589,0,39788,802412,600079,51879578,20665096,7608047,91945,0,185361664
601,2015,EC103,Ikwezi,Eastern Cape,24.371068,24.371068,1722591,327859,10155210,86240,43767,1316022,0,0,109451,0,23961495,10060947,2169266,0,0,49952848
602,2015,EC104,Makana,Eastern Cape,25.4733554,25.4733554,53827308,0,171250781,1023409,12494248,0,0,55402,2344416,850378,81632008,28979223,2774115,1047113,0,356278401
603,2015,EC105,Ndlambe,Eastern Cape,24.6192899,24.6192899,68004287,0,94344506,1213958,1630826,5710868,0,606110,3957916,0,69042863,36465122,39732554,0,0,320709010
604,2015,EC106,Sundays River Valley,Eastern Cape,26.324943800000003,26.324943800000003,28829853,0,58855889,136201,485733,10519478,0,3146120,1359192,1566947,52233266,27690457,25920113,0,0,210743249
605,2015,EC107,Baviaans,Eastern Cape,26.749645,26.749645,4372948,0,19677497,199248,201671,507290,0,800,745656,535392,28552943,41119684,350571,71569,0,96335269
606,2015,EC108,Kouga,Eastern Cape,25.568108399999996,25.568108399999996,128579927,0,301052107,1394698,2429512,3925942,0,3599461,6503039,0,164534844,40076540,19834247,136661,0,672066978
607,2015,EC109,Kou-Kamma,Eastern Cape,24.048800699999997,24.048800699999997,15487638,0,23168945,333288,296568,5554337,0,671554,8594,1491722,56428404,24856024,1176094,22896,0,129496064
608,2015,EC121,Mbhashe,Eastern Cape,24.8092691,24.8092691,6314558,0,1820166,1015779,9068446,0,0,392313,742726,0,169880286,50640000,5761249,0,0,245635523
609,2015,EC122,Mnquma,Eastern Cape,24.048800699999997,24.048800699999997,19384000,0,3591000,2300000,5116000,3694000,0,8342000,1029000,2655000,194400960,88741274,5002088,5899000,0,340154322
610,2015,EC123,Great Kei,Eastern Cape,28.766440799999998,28.766440799999998,19710389,0,7403343,232879,271048,6187223,0,28650,2239630,0,42636915,12815000,2696068,0,2007578,92213567
611,2015,EC124,Amahlathi,Eastern Cape,28.0186087,28.0186087,8794616,0,32142493,1003651,9244720,2214562,0,253026,0,2758342,112875179,25392178,1429858,0,0,196108625
612,2015,EC126,Ngqushwa,Eastern Cape,27.971760600000003,27.971760600000003,10721838,0,535518,225074,820414,2436854,0,732949,1675561,334015,78959369,27454055,208518,191000,0,124295165
613,2015,EC127,Nkonkobe,Eastern Cape,27.267611600000002,27.267611600000002,57398732,0,40837680,273605,633178,5227626,0,42950,2766637,0,140090960,5105343,3654530,0,0,256031241
614,2015,EC128,Nxuba,Eastern Cape,27.267611600000002,27.267611600000002,3902579,0,24040596,141392,0,3326009,0,709200,2128013,0,28101639,9480621,1612449,0,0,73442498
