date,mun_code,efficient_measure,wellfare_measure,profile,province
2013,KZN271,0.9956616729,0.113605052,2,KwaZulu-Natal
2013,KZN272,0.9999938822,0.155775646,2,KwaZulu-Natal
2013,KZN273,0.999735378,0.204504908,2,KwaZulu-Natal
2013,KZN274,0.9978196707,0.18346862,2,KwaZulu-Natal
2013,KZN275,0.9977991397,0.307443353,2,KwaZulu-Natal
2013,KZN281,0.9966770757,0.318850782,2,KwaZulu-Natal
2013,KZN282,1.0,0.605877913,1,KwaZulu-Natal
2013,KZN283,1.0,0.195505988,2,KwaZulu-Natal
2013,KZN284,0.9988065192,0.266423736,2,KwaZulu-Natal
2013,KZN285,1.0,0.269725849,2,KwaZulu-Natal
2013,KZN286,0.997377719,0.217430866,2,KwaZulu-Natal
2013,KZN291,0.9999463337,0.381279343,2,KwaZulu-Natal
2013,KZN292,0.9997702623,0.432518184,2,KwaZulu-Natal
2013,KZN293,0.9996770489,0.209517717,2,KwaZulu-Natal
2013,KZN294,0.9953437464,0.137163337,2,KwaZulu-Natal
2013,KZN431,1.0,0.153395638,2,KwaZulu-Natal
2013,KZN432,0.9964528042,0.338949879,2,KwaZulu-Natal
2013,KZN433,0.9992765942,0.538938755,1,KwaZulu-Natal
2013,KZN434,1.0,0.129693148,2,KwaZulu-Natal
2013,KZN435,0.9996795895,0.164096014,2,KwaZulu-Natal
2013,LIM331,0.9998270236,0.190041147,2,Limpopo
2013,LIM332,0.9987284709,0.212933092,2,Limpopo
2013,LIM333,0.9994001869,0.270043402,2,Limpopo
2013,LIM334,0.9989538955,0.466992056,2,Limpopo
2013,LIM335,0.999744951,0.188822688,2,Limpopo
2013,LIM341,1.0,0.548149806,1,Limpopo
2013,LIM342,1.0,0.115007101,2,Limpopo
2013,LIM343,1.0,0.239445889,2,Limpopo
2013,LIM344,0.9986360818,0.227599913,2,Limpopo
2013,LIM351,0.9993105189,0.196902993,2,Limpopo
2013,LIM352,1.0,0.303450573,2,Limpopo
2013,LIM353,1.0,0.359514975,2,Limpopo
2013,LIM354,0.9991538412,0.489700904,2,Limpopo
2013,LIM355,0.9982349847,0.320057987,2,Limpopo
2013,LIM361,0.9924565705,0.554204282,1,Limpopo
2013,LIM362,1.0,0.427335483,2,Limpopo
2013,LIM364,0.9995644771,0.611795979,1,Limpopo
2013,LIM365,0.9998295291,0.57010887,1,Limpopo
2013,LIM366,0.9987179232,0.606324297,1,Limpopo
2013,LIM367,1.0,0.355437846,2,Limpopo
2013,LIM471,1.0,0.298786259,2,Limpopo
2013,LIM472,0.9900471494,0.305943266,2,Limpopo
2013,LIM473,1.0,0.205748266,2,Limpopo
2013,LIM474,1.0,0.220378493,2,Limpopo
2013,MAN,0.9988361828,0.633151152,1,Free State
2013,MP301,0.9972323771,0.353657969,2,Mpumalanga
2013,MP302,0.9989984888,0.513021248,1,Mpumalanga
2013,MP303,0.9990633951,0.336702693,2,Mpumalanga
2013,MP304,0.9966208291,0.487936867,2,Mpumalanga
2013,MP305,0.996918852,0.671750998,1,Mpumalanga
2013,MP306,0.9977901318,0.586584503,1,Mpumalanga
2013,MP307,0.9999384423,0.711624011,1,Mpumalanga
